name,artist,album,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_popularity
Stone,Alessia Cara,Know-It-All,0b3qOB5v3kqL1obw0hrfFo,0.771,0.514,6,-5.834,1,0.0324,0.321,2.82e-05,0.0903,0.337,128.022,228000,4,81
Side Effects,The Chainsmokers,Sick Boy,0bGLvHd0ApdT4t0shCfpzG,0.669,0.711,8,-6.758,1,0.033,0.00217,0.0,0.466,0.544,110.01,172747,4,84
Eastside (with Halsey & Khalid),benny blanco,Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.116,0.319,89.391,173800,4,77
Drunken Hearts,Wallpaper.,Ricky Reed Is Real,0fFSWYIBVssa1asI2jfqS5,0.634,0.873,9,-2.902,0,0.0604,0.00927,0.0,0.564,0.525,122.014,216333,4,32
Vivaldi: Winter From The Four Seasons 1. Allegro Non Molto,Silverwood Quartet,To Drive The Cold Winter Away,0hLbjFiF7zmGuZJrpLOJ7F,0.487,0.17,5,-12.96,0,0.0589,0.925,0.882,0.137,0.126,141.978,216360,4,39
Desencuentro (feat. Soko),Residente,Residente,0kc4G5tEdtmTB0w3gYmb01,0.379,0.775,0,-6.297,1,0.0798,0.0854,0.00446,0.133,0.361,159.83,284493,3,67
La Mujer Perfecta,KURT,La Mujer Perfecta,0mAGeks6ns4FZWBPkjD9HR,0.824,0.488,9,-9.112,1,0.0669,0.242,8.09e-06,0.109,0.878,155.11,217907,4,66
Just My Type,The Vamps,Night & Day,0q2e5jdjxFaaYRf49b1vLj,0.61,0.87,2,-4.012,0,0.0693,0.00299,0.0,0.064,0.523,125.014,211360,4,76
Digital Love (feat. Hailee Steinfeld),Digital Farm Animals,Digital Love (feat. Hailee Steinfeld),0qwa6Mm9oZWLhGitD2Jfnq,0.701,0.786,0,-4.429,1,0.0512,0.00606,0.0,0.0835,0.514,100.932,179507,4,70
Do Like That,Korede Bello,Do like That,0z0qRN3HNUCOG9y1R7umuD,0.835,0.366,5,-10.246,0,0.426,0.357,0.0,0.0793,0.659,114.044,213519,4,52
Freaky Friday (feat. Chris Brown),Lil Dicky,Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,0.755,0.599,8,-5.042,1,0.224,0.147,0.0,0.109,0.755,133.123,216632,4,68
Say Something (feat. Chris Stapleton),Justin Timberlake,Man of the Woods,1LhMopPAallLeaeNutqbgS,0.707,0.632,10,-7.031,1,0.0789,0.103,1.09e-05,0.0841,0.372,97.04,278893,4,82
Up (feat. Demi Lovato),Olly Murs,Never Been Better,1RidHM9BC4M8DpfSQ6YLJh,0.692,0.831,9,-5.389,1,0.034,0.0146,0.0,0.103,0.676,114.972,224294,4,72
Tell Her You Love Her,Echosmith,Talking Dreams,1vZSnCXJtFGaCOfCWyXn0z,0.637,0.556,7,-7.625,1,0.0352,0.262,0.000444,0.105,0.176,120.021,246653,4,63
